Year_local,DOY,daytime,FC,LE,TA,RECO,GPP,SWC,TS
2022,173.2083,1,12.7529475,24.775275,23.8119,11.236537877117712,-1.516409623,21.639169,20
2022,173.2291,1,5.210675,40.0543,24.5512,11.448902894663329,6.2382278946633285,21.646926999999998,20
2022,173.2499,1,22.4091,44.7881,27.0639,12.185078087163031,-10.22402191,21.654685,20
2022,173.2707,1,-8.105938571,119.87375714285714,24.5672,11.438213492187096,19.54415206361567,21.658564,20
2022,173.2916,1,10.4519,62.7041,24.3659,11.37076559781695,0.918865598,21.662443,20
2022,173.3124,1,4.57257,86.7848,24.4316,11.382566362367069,6.809996362367067,21.658564,19.94
2022,173.3332,1,0.4505899999999997,93.39463333333332,24.6667,11.44451681,10.99392681,21.670201,19.9
2022,173.3541,1,-13.6727,130.695,26.7682,12.057001975236195,25.72970198,21.681838,19.9
2022,173.3749,1,-13.92455,151.2165,26.8796,12.081591167333704,26.006141167333706,21.666321999999997,19.9
2022,173.3957,1,-8.571766667,185.5423,27.168,12.15808586094465,20.72985252761132,21.685717,19.86
2022,173.4165,1,-14.1764,171.738,26.8567,12.058499438250127,26.234899438250128,21.705112,19.8
2022,173.4374,1,-20.16316667,254.95,26.1967,11.856499495257644,32.019666161924306,21.701233000000002,19.8
2022,173.4582,1,-25.196,299.668,27.2656,12.16194118445612,37.35794118445612,21.716749,19.74
2022,173.479,1,-31.4178,363.047,27.8289,12.318347698759494,43.736147698759495,21.716749,19.7
2022,173.4999,1,-29.9938,364.219,27.8428,12.314031054967488,42.30783105496749,21.724507000000003,19.7
2022,173.5207,1,-22.5192,360.64,29.2611,12.718266057624676,35.23746605762467,21.720628,19.6
2022,173.5415,1,-22.6114,383.996,29.297,12.72001847,35.33141847,21.708991,19.6
2022,173.5624,1,-25.9943,435.239,29.565,12.788964657326863,38.78326465732686,21.685717,19.6
2022,173.5832,1,-28.4526,501.087,30.7377,13.118666709091215,41.57126670909122,21.666321999999997,19.52
2022,173.604,1,-20.3859,395.455,30.2763,12.976846834138422,33.36274683413842,21.623653,19.5
2022,173.6249,1,-18.2561,373.794,30.5963,13.060105626024262,31.316205626024264,21.580984,19.5
2022,173.6457,1,-21.5769,427.982,31.1741,13.217093371933093,34.79399337193309,21.565468,19.5
2022,173.6665,1,-20.4808,408.683,31.0886,13.183551675240638,33.66435167524064,21.549952,19.5
2022,173.6873,1,-16.7957,334.677,31.3381,13.245979868429853,30.041679868429853,21.468493,19.5
2022,173.7082,1,-14.5731,330.712,31.4243,13.261563470690849,27.83466347069085,21.40255,19.5
2022,173.729,1,-12.0543,319.427,31.2793,13.211041165823422,25.265341165823425,21.305574999999997,19.5
2022,173.7498,1,-7.98002,255.028,30.9959,13.120975830234626,21.100995830234623,21.212479000000002,19.58
2022,173.7707,1,-5.80689,219.415,30.7544,13.04291514,18.84980514,21.096109,19.6
2022,173.7915,1,-0.313683,161.449,30.0653,12.836661814462891,13.15034481446289,20.983618,19.66
2022,173.8123,1,3.3198,114.601,29.9214,12.786604752376933,9.466804752,20.871127,19.71
2022,173.8332,1,15.1196,76.6264,27.9024,12.197216228353348,-2.922383772,20.762515,19.8
2022,173.854,0,9.95903025,78.27776875,28.4475,12.345892450067955,2.386862200067956,20.657782,19.88
